date,all,long,short,net
2014-07-08,410992,203464,-53443,150021
2014-07-15,408368,199950,-57492,142458
2014-07-22,405617,197835,-51689,146146
2014-07-29,374467,188980,-49827,139153
2014-08-05,360342,176386,-54923,121463
2014-08-12,368114,191325,-43644,147681
2014-08-19,366401,183846,-45870,137976
2014-08-26,363608,172022,-58853,113169
2014-09-02,371515,172522,-75643,96879
2014-09-09,384341,177555,-82414,95141
2014-09-16,386080,170749,-98562,72187
2014-09-23,385788,170382,-106498,63884
2014-09-30,379874,171075,-106205,64870
2014-10-07,380087,174075,-107628,66447
2014-10-14,397855,193580,-108165,85415
2014-10-21,411057,207129,-99145,107984
2014-10-28,414410,195885,-95146,100739
2014-11-04,417377,176899,-113674,63225
2014-11-11,443422,177268,-121225,56043
2014-11-18,459657,187955,-106533,81422
2014-11-25,388145,167394,-91187,76207
2014-12-02,368121,170635,-81305,89330
2014-12-09,375323,186861,-71999,114862
2014-12-16,371743,182147,-63739,118408
2014-12-23,375212,180980,-70070,110910
2014-12-30,373982,182897,-67060,115837
2015-01-06,394021,187705,-65527,122178
2015-01-13,402108,192959,-62733,130226
2015-01-20,430128,223257,-60802,162455
2015-01-27,438279,238407,-49482,188925
2015-02-03,419524,229006,-43991,185015
2015-02-10,393232,199036,-43762,155274
2015-02-17,389530,188121,-56387,131734
2015-02-24,399307,184416,-58245,126171
2015-03-03,405124,180561,-64741,115820
2015-03-10,410918,171821,-89929,81892
2015-03-17,429738,162268,-109175,53093
2015-03-24,433767,168234,-113953,54281
2015-03-31,387585,172818,-92799,80019
2015-04-07,390571,183130,-82373,100757
2015-04-14,395089,184741,-86344,98397
2015-04-21,397379,184567,-83322,101245
2015-04-28,403575,189929,-88672,101257
2015-05-05,399988,173105,-100665,72440
2015-05-12,405612,179257,-101817,77440
2015-05-19,428597,202190,-79569,122621
2015-05-26,411961,191951,-87257,104694
2015-06-02,398724,194299,-89889,104410
2015-06-09,406069,186813,-111723,75090
2015-06-16,415718,191053,-115330,75723
2015-06-23,430978,202944,-107830,95114
2015-06-30,442301,194476,-127321,67155
2015-07-07,452145,193776,-143328,50448
2015-07-14,462664,191014,-143190,47824
2015-07-21,459760,187720,-159441,28279
2015-07-28,438282,182977,-158512,24465
2015-08-04,434273,184792,-154892,29900
2015-08-11,435489,187778,-155336,32442
2015-08-18,432728,185712,-144053,41659
2015-08-25,432154,189893,-119160,70733
2015-09-01,410274,182753,-110068,72685
2015-09-08,421732,183615,-124322,59293
2015-09-15,413333,174225,-134678,39547
2015-09-22,419304,182080,-120955,61125
2015-09-29,415700,182792,-106147,76645
2015-10-06,430228,191000,-104181,86819
2015-10-13,435928,203299,-86140,117159
2015-10-20,467792,233227,-81926,151301
2015-10-27,466780,225985,-68551,157434
2015-11-03,443900,194784,-78442,116342
2015-11-10,436426,174561,-106172,68389
2015-11-17,435376,173395,-138996,34399
2015-11-24,397705,159440,-143138,16302
2015-12-01,390940,158792,-149042,9750
2015-12-08,394128,162764,-143141,19623
2015-12-15,390944,155934,-142278,13656
2015-12-22,405294,154276,-127849,26427
2015-12-29,401880,150229,-131127,19102
2016-01-05,413688,153532,-126972,26560
2016-01-12,397565,158655,-113937,44718
2016-01-19,408835,158320,-114626,43694
2016-01-26,385350,170471,-111431,59040
2016-02-02,379185,176968,-104146,72822
2016-02-09,410833,201754,-103326,98428
2016-02-16,428912,209101,-91741,117360
2016-02-23,445290,227381,-82403,144978
2016-03-01,450555,223186,-70773,152413
2016-03-08,499110,252895,-78085,174810
